"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping: Tumor → CRTumorEncounter","Mapping: Mapping: Tumor crTopography → Topography Observation","Mapping: Mapping: Tumor crMorphology → Morphology Observation","Mapping: Mapping: Tumor crBehaviour → Behaviour Observation","Mapping: Mapping: Tumor crGrade → Grade Observation","Mapping: Mapping: Tumor crBasisDiagnosis → Basis of Diagnosis Observation","Mapping: Mapping: Tumor crSite → Site Observation","Mapping: Mapping: Tumor crIncidenceDate → Incidence Date Observation","Mapping: Mapping: Tumor crAge → Age at Incidence Observation","Mapping: Mapping: Tumor crAddress → Address Observation","Mapping: Mapping: Tumor crTumorNumber → Tumor Number Observation"
"Tumor.crRare","Tumor.crRare","","","",0,1,"","","","boolean {[]} {[]}
","CR - Rare","CR - Rare","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#jTW2ljvoIc6
",,,,"Tumor.crRare",0,1,"","","Encounter.extension('https://dhis2.org/fhir/cancer-registry/StructureDefinition/cr-rare').valueBoolean"
"Tumor.crInvalid","Tumor.crInvalid","","","",0,1,"","","","boolean {[]} {[]}
","CR - Invalid","CR - Invalid","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#TXtHNzrfmki
",,,,"Tumor.crInvalid",0,1,"",""
"Tumor.crMorphologyFamily","Tumor.crMorphologyFamily","","","",0,1,"","","","code {[]} {[]}
","CR - Morphology Family","CR - Morphology Family","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyFamilyVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#RBu5b3A68mq
",,,,"Tumor.crMorphologyFamily",0,1,"",""
"Tumor.crTopographyMorphologyKey","Tumor.crTopographyMorphologyKey","","","",0,1,"","","","code {[]} {[]}
","CR - Topography Morphology key","CR - Topography Morphology key","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTopographyMorphologyKeyVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#XR1U9dr60xI
",,,,"Tumor.crTopographyMorphologyKey",0,1,"",""
"Tumor.crPresentInTheMustList","Tumor.crPresentInTheMustList","","","",0,1,"","","","boolean {[]} {[]}
","CR - Present in the MUST list","CR - Present in the MUST list","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#oZyJlKscN6G
",,,,"Tumor.crPresentInTheMustList",0,1,"",""
"Tumor.crPresentInTheMustNotList","Tumor.crPresentInTheMustNotList","","","",0,1,"","","","boolean {[]} {[]}
","CR - Present in the MUST-NOT list","CR - Present in the MUST-NOT list","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#DyVH5Q3Qf0Q
",,,,"Tumor.crPresentInTheMustNotList",0,1,"",""
"Tumor.crMorphologyGroup","Tumor.crMorphologyGroup","","","",0,1,"","","","code {[]} {[]}
","CR - Morphology group","CR - Morphology group","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#yt3gq8onyKb
",,,,"Tumor.crMorphologyGroup",0,1,"",""
"Tumor.crPreviousMorphologyGroup","Tumor.crPreviousMorphologyGroup","","","",0,1,"","","","code {[]} {[]}
","CR - Previous morphology group","CR - Previous morphology group","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#eGWudq2aGpY
",,,,"Tumor.crPreviousMorphologyGroup",0,1,"",""
"Tumor.crPreviousMorphologyGroupMultiple","Tumor.crPreviousMorphologyGroupMultiple","","","",0,1,"","","","code {[]} {[]}
","CR - Previous morphology group (multiple)","CR - Previous morphology group (multiple)","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#dTbQZsduHT7
",,,,"Tumor.crPreviousMorphologyGroupMultiple",0,1,"",""
"Tumor.crTopographyGroup","Tumor.crTopographyGroup","","","",0,1,"","","","code {[]} {[]}
","CR - Topography group","CR - Topography group","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTopographyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#RmzIYvxiBm4
",,,,"Tumor.crTopographyGroup",0,1,"",""
"Tumor.crPreviousTopographyGroup","Tumor.crPreviousTopographyGroup","","","",0,1,"","","","code {[]} {[]}
","CR - Previous topography group","CR - Previous topography group","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTopographyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#FyzoZsxRjjz
",,,,"Tumor.crPreviousTopographyGroup",0,1,"",""
"Tumor.crPreviousTopographyGroupMultiple","Tumor.crPreviousTopographyGroupMultiple","","","",0,1,"","","","code {[]} {[]}
","CR - Previous topography group (multiple)","CR - Previous topography group (multiple)","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTopographyGroupVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#IhLiguJKuzz
",,,,"Tumor.crPreviousTopographyGroupMultiple",0,1,"",""
"Tumor.crMorphologyResult","Tumor.crMorphologyResult","","","",0,1,"","","","code {[]} {[]}
","CR - Morphology result","CR - Morphology result","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyResultVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#n4IHuWceDlW
",,,,"Tumor.crMorphologyResult",0,1,"",""
"Tumor.crConfirmTheRareStatus","Tumor.crConfirmTheRareStatus","","","",0,1,"","","","boolean {[]} {[]}
","CR - Confirm the rare status","CR - Confirm the rare status","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#z3JSu92EQhg
",,,,"Tumor.crConfirmTheRareStatus",0,1,"",""
"Tumor.crTumourid","Tumor.crTumourid","","","",0,1,"","","","string {[]} {[]}
","CR - TUMOURID","CR - TUMOURID","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#KwMs1DNVA0R
",,,,"Tumor.crTumourid",0,1,"",""
"Tumor.crPreviousTumorNumber","Tumor.crPreviousTumorNumber","","","",0,1,"","","","code {[]} {[]}
","CR - Previous tumor number","CR - Previous tumor number","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTumorNumberVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#OrVAWBySU43
",,,,"Tumor.crPreviousTumorNumber",0,1,"",""
"Tumor.crPatientId","Tumor.crPatientId","","","",0,1,"","","","string {[]} {[]}
","CR - Patient ID","CR - Patient ID","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#EMoLghRDW4A
",,,,"Tumor.crPatientId",0,1,"",""
