URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/cr-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://terminology.hl7.org/ValueSet/v2-0092,3.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO (V3)"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRAddressVS,1.0.0,active,,CRAddressVS,CR - Address value set,"Value set of address codes containing placeholder values that must be customised prior to implementation to reflect the administrative geography of the country or region.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRAddressVS,0.1.0,active,,CRAddressVS,CR - Address value set,"Value set of address codes containing placeholder values that must be customised prior to implementation to reflect the administrative geography of the country or region.","StructureDefinition/cr-address-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBasisDiagnosisVS,1.0.0,active,,CRBasisDiagnosisVS,CR - Basis diagnosis value set,"Value set of basis of diagnosis codes aligned with the CanReg5 basis dictionary. Codes 0-4 are non-microscopically confirmed, codes 5-8 are microscopically confirmed, and code 9 is unknown.",,"Internal"
